2,3,4,5,name,styleUrl,styleHash,adult,youth,profile
43,88438,0.043,0.044,Andover,#PolyStyle00,-4738c2d,22,0,http://capitalworkforce.org/files/5614/4603/9348/Website_Andover_Town_Profile_-_August_2015.pdf
47.2,86890,0.019,0.039,Bolton,#PolyStyle00,-4738c2d,38,1,http://capitalworkforce.org/files/6414/4603/9385/Website_Bolton_Town_Profile_-_August_2015.pdf
40.1,84699,0.019,0.047,Ellington,#PolyStyle00,-4738c2d,118,0,http://capitalworkforce.org/files/4114/4603/9452/Website_Ellington_Town_Profile_-_August_2015.pdf
42.6,111792,0.013,0.04,Hebron,#PolyStyle00,-4738c2d,15,0,http://capitalworkforce.org/files/1414/4604/0330/Website_Hebron_Town_Profile_-_August_2015.pdf
42,98846,0.043,0.047,Somers,#PolyStyle00,-4738c2d,101,0,http://capitalworkforce.org/files/1514/4604/0872/Website_Somers_Town_Profile_-_August_2015.pdf
41.5,61959,0.095,0.06,Stafford,#PolyStyle00,-4738c2d,122,0,http://capitalworkforce.org/files/4514/4604/0901/Website_Stafford_Town_Profile_-_August_2015.pdf
43.1,103869,0.021,0.037,Tolland,#PolyStyle00,-4738c2d,49,1,http://capitalworkforce.org/files/3714/4604/0920/Website_Tolland_Town_Profile_-_August_2015.pdf
40.4,61038,0.093,0.055,Vernon,#PolyStyle00,-4738c2d,549,25,http://capitalworkforce.org/files/6614/4604/0930/Website_Vernon_Town_Profile_-_August_2015.pdf
45.8,115571,0.041,0.036,Avon,#PolyStyle00,-4738c2d,50,0,http://capitalworkforce.org/files/4814/4603/9358/Website_Avon_Town_Profile.pdf
45.7,87432,0.048,0.046,Berlin,#PolyStyle00,-4738c2d,208,0,http://capitalworkforce.org/files/5314/4603/9367/Website_Berlin_Town_Profile_-_August_2015.pdf
48.2,73104,0.068,0.063,Bloomfield,#PolyStyle00,-4738c2d,619,33,http://capitalworkforce.org/files/5414/4603/9376/Website_Bloomfield_Town_Profile_-_August_2015.pdf
41.4,57610,0.105,0.065,Bristol,#PolyStyle00,-4738c2d,1138,78,http://capitalworkforce.org/files/6514/4603/9397/Website_Bristol_Town_Profile_-_August_2015.pdf
42.4,105422,0.036,0.043,Burlington,#PolyStyle00,-4738c2d,48,0,http://capitalworkforce.org/files/1514/4603/9406/Website_Burlington_Town_Profile_-_August_2015.pdf
45.2,87891,0.038,0.039,Canton,#PolyStyle00,-4738c2d,46,0,http://capitalworkforce.org/files/9114/4603/9413/Website_Canton_Town_Profile_-_August_2015.pdf
43.1,71250,0.036,0.039,East Granby,#PolyStyle00,-4738c2d,36,0,http://capitalworkforce.org/files/4514/4603/9423/Website_East_Granby_Town_Profile_-_August_2015.pdf
38.8,50400,0.134,0.073,East Hartford,#PolyStyle00,-4738c2d,1722,150,http://capitalworkforce.org/index.php/download_file/view/742/132/
40.8,72785,0.055,0.057,East Windsor,#PolyStyle00,-4738c2d,217,0,http://capitalworkforce.org/index.php/download_file/view/743/132/
40.9,67191,0.07,0.054,Enfield,#PolyStyle00,-4738c2d,965,14,http://capitalworkforce.org/index.php/download_file/view/745/132/
43.4,88935,0.05,0.039,Farmington,#PolyStyle00,-4738c2d,169,0,http://capitalworkforce.org/index.php/download_file/view/746/132/
43.9,106678,0.032,0.038,Glastonbury,#PolyStyle00,-4738c2d,216,3,http://capitalworkforce.org/index.php/download_file/view/747/132/
46.7,97894,0.02,0.04,Granby,#PolyStyle00,-4738c2d,40,0,http://capitalworkforce.org/index.php/download_file/view/748/132/
30.1,29430,0.336,0.104,Hartford,#PolyStyle00,-4738c2d,8371,1774,http://capitalworkforce.org/index.php/download_file/view/749/132/
35.8,63274,0.105,0.055,Manchester,#PolyStyle00,-4738c2d,2037,53,http://capitalworkforce.org/index.php/download_file/view/751/132/
44.6,110694,0.01,0.044,Marlborough,#PolyStyle00,-4738c2d,27,0,http://capitalworkforce.org/index.php/download_file/view/752/132/
33.4,40294,0.224,0.081,New Britain,#PolyStyle00,-4738c2d,4117,378,http://capitalworkforce.org/index.php/download_file/view/753/132/
44.2,77368,0.044,0.047,Newington,#PolyStyle00,-4738c2d,304,3,http://capitalworkforce.org/index.php/download_file/view/754/132/
42,60630,0.067,0.052,Plainville,#PolyStyle00,-4738c2d,243,4,http://capitalworkforce.org/index.php/download_file/view/755/132/
43.4,77560,0.078,0.042,Rocky Hill,#PolyStyle00,-4738c2d,137,1,http://capitalworkforce.org/index.php/download_file/view/757/132/
43.8,115000,0.019,0.036,Simsbury,#PolyStyle00,-4738c2d,114,1,http://capitalworkforce.org/index.php/download_file/view/758/132/
44.5,80029,0.043,0.046,Southington,#PolyStyle00,-4738c2d,285,0,http://capitalworkforce.org/index.php/download_file/view/761/132/
43.1,90499,0.045,0.044,South Windsor,#PolyStyle00,-4738c2d,212,2,http://capitalworkforce.org/index.php/download_file/view/760/132/
41.5,92737,0.042,0.044,Suffield,#PolyStyle00,-4738c2d,128,0,http://capitalworkforce.org/index.php/download_file/view/763/132/
41.5,82322,0.073,0.04,West Hartford,#PolyStyle00,-4738c2d,545,27,http://capitalworkforce.org/index.php/download_file/view/766/132/
45.3,77740,0.058,0.048,Wethersfield,#PolyStyle00,-4738c2d,241,4,http://capitalworkforce.org/index.php/download_file/view/769/132/
42.5,79528,0.053,0.054,Windsor,#PolyStyle00,-4738c2d,731,39,http://capitalworkforce.org/index.php/download_file/view/768/132/
42.1,66583,0.079,0.055,Windsor Locks,#PolyStyle00,-4738c2d,182,0,http://capitalworkforce.org/index.php/download_file/view/767/132/
40.5,70273,0.066,0.067,Plymouth,#PolyStyle00,-4738c2d,116,1,http://capitalworkforce.org/index.php/download_file/view/756/132/